0		7.04
1.02	7.04
2.12	7.04
3.28	7.04
4.37	7.05
5.46	7.05
6.55	7.06
7.64	7.06
8.73	7.06
9.83	7.08
10.8	7.08
11.9	7.09
12.8	7.11
13.8	7.15
14.6	7.16
15.5	7.21
16.9	7.29
17.8	7.35
18.5	7.44
19.2	7.49
19.9	7.58
20.3	7.67
20.9	7.73
21.6	7.84
22.4	7.87
23		7.93
23.8	7.87
24.8	7.79
25.5	7.58
25.9	7.38
26.4	7.07
26.7	6.95
26.9	6.81
27.2	6.67
27.5	6.54
28		6.25
28.2	6.09
28.6	5.95
28.9	5.81
29.1	5.67
29.4	5.54
29.8	5.43
30		5.26
30.5	5.11
30.9	4.97
31.3	4.82
31.8	4.59
32.3	4.45
32.9	4.28
33.4	4.13
33.9	4.02
34.3	3.84
34.8	3.76
35.1	3.64
35.7	3.5
36.4	3.41
37.4	3.3
37.8	3.13
38.5	3.07
39.5	2.95
40.4	2.84
41.6	2.75
42.4	2.64
43.5	2.61
44.1	2.52
44.8	2.48
45.5	2.45
46.3	2.41
47		2.38
48.1	2.34
